0.000128161129831419 0.000266314085906048 0.000667250769461811 0.00110226648489793 0.000555067442612526 0.000489260779942937 0.000650439228696671 0.00154371761384663 0.00260748234846842 0.00326744442590536 0.00657160588214512 0.00529149270640977 0.00678119974450106 0.00769786186903376 0.00685838562519339 0.0120770630606952 0.0144791658307577 0.0406525527539766 0.0549998251756086 0.090688003545053 0.146744591360622 0.161508485157852 0.123195003294828 0.311177359683755
0.000410651893956686 0.000321227062224411 0.000769829384771041 0.000987511475165908 0.00053260449781587 0.000910573453270952 0.000730653958486135 0.00210648153630391 0.00230806715698697 0.0020016054003125 0.00312282129055794 0.00698527168938044 0.00821016321787621 0.00551905561497702 0.00802584189804083 0.00903587699749145 0.0159873550837935 0.0203310499104078 0.0266952886016986 0.0341474967457936 0.0594601794490957 0.121278446794389 0.117793695851529 0.552328251035674
0.00015768602599728 0.000233260798266546 0.000131250175581456 0.000476441629634045 0.000674832407860576 0.000784512853547665 0.00119171851652063 0.00168781900949356 0.00338608189309207 0.00179762464988601 0.00216329202745982 0.00606612165611655 0.00196639040730756 0.00563202548827146 0.00182684114059981 0.0025629728297212 0.00232318543378844 0.0267780734375207 0.0309121574545608 0.0354070163718731 0.0538330973308808 0.0777479349108642 0.128248813723335 0.614010849827821
0.000322126878742479 0.000661315562503098 0.000417194137496667 0.00268523050722341 0.00245622416325272 0.00151479963343411 0.00149714262315239 0.00164241298451471 0.00123678731022378 0.00201606539560508 0.00190915444715109 0.0039380838843364 0.00491074102719674 0.0079742200042 0.00513706670986753 0.00953668528622381 0.0105617137794382 0.0231682395786215 0.0171752609868794 0.0530373962320598 0.0510251772945303 0.121347265015032 0.126851517432186 0.548978179126129
0.00035376145245642 0 0.000188529760094883 0 0.000536766028393984 0.00109426085152716 0.0012559878559695 0.00247717827672699 0.00384864622324416 0.00579536940427153 0.00697795836912179 0.0181141354128846 0.0112102120170311 0.00719569801927636 0.00989404580088311 0.0147975906156082 0.0207492242011597 0.0396464016839065 0.06409899593435 0.0767755020269007 0.0630623192256091 0.0782659298074867 0.0706265208365608 0.503034966196537
4.70345960589782e-05 0.000111551276831391 0.0001775154071045 1.3287486246882e-05 4.47782777196565e-05 0.00019889408597552 0.000239998646709844 0.000286176793410278 0.000124175140037296 0.00145640215115537 0.000379634951482958 0.000818420001939031 0.00117964630068908 0.00133443825317537 0.0634923072378848 0.0341421658605087 0.0117433681551368 0.0130614687603147 0.02114060347901 0.0254749759834195 0.0314661923439763 0.0520259378442897 0.0554038968220432 0.68563713014488
6.49579319701609e-05 0 3.17271380687591e-05 3.43913077619797e-05 0.000102992713480467 0 0.000102992713480467 0.000167626781117443 8.16408006569418e-05 0.000414870210809425 0.00202736759256871 0.00229235030555809 0.00606997714285058 0.00215066351531762 0.00639994477650456 0.00334813646515644 0.00719443796319516 0.0177605388220359 0.0380923406844741 0.0618399088247876 0.0699131950668846 0.0836626895445408 0.0926912714702823 0.605555978228498
0.000710802897572097 0.00114281946079603 0.000355401448786049 0.00106436593171382 0.00093151055862992 0.000714001086361638 0.000566623325406865 0.00061496601581748 0.00116986264899603 0.000491574670784266 0.00106089578809523 0.00148207767093011 0.00256797154691094 0.00215218524788427 0.00183628251846837 0.00771715340181062 0.00637543705724598 0.0130897733442517 0.0117761988853964 0.03220507578451 0.0396966480947263 0.0562305770540985 0.0815403469301646 0.734507448630643
0 0 0.000121306138187632 0.000125663417123892 0.000125663417123892 0.000369899366581663 0.000125663417123892 0.000376996593844654 0.000750834636145993 0.000125663417123892 0.000236466420059055 0.000406685709857218 0.000251333176720762 0.000535888226903138 0.000170219289798163 0.000148255305873465 0.000703310486117763 0.00181021155527922 0.00361920535574655 0.0148257716013197 0.0123962809844155 0.0183994950833371 0.0442139689834171 0.9001612174179
0 0 0 0 9.56691167316194e-05 0 0 7.08676099143601e-05 8.3987670451654e-05 0.000119422744028109 0.000670264844749075 0.000682796265942983 0.001317077993589 0.0010039827566325 0.0012623167739842 0.00381900071930459 0.00161524411892272 0.00424212076870341 0.00502861143690875 0.0118458897848084 0.0132541053870804 0.0343864785544136 0.0400745867956691 0.880427576658166
0 0 0 0.000916441073915818 0 0 0 0.000480367142376537 0 0 0.00232230837192777 0.000960714633816589 0.000743100163181377 0.00420980047225131 0.0020982090922525 0.00214026209633046 0.00572537894865918 0.00715852174651235 0.00853573797912913 0.0125988049086467 0.0070194520690078 0.0250785840950036 0.0528808862415147 0.867131430965474
#-


#==========================================================================================================================
# Longline Survey Size Composition, NOT USED IN MODEL, include one year of fake data
#==========================================================================================================================
# Number of years: nyrs_srv2_size
1
# Longline Survey size comp years: yrs_srv1_size
1999
# Number of samples: nsamples_srv2_size(1,nyrs_srv2_size)
99
# Number of hauls: nhauls_srv2_size(1,nyrs_srv2_size)
99
# Index for size-age error matrix
1
# Observed longline survey size compositions (proportions at length): osc_srv2(1,nyrs_srv2_size,1,nlenbins)
0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667


#==========================================================================================================================
# Size-age transition matrix: proportion at size given age: sizeage(1,nages,1,nlenbins)
#==========================================================================================================================
#!p
0.862765690957321 0.0766917762532715 0.0382017981430738 0.0154909607768158 0.00511333874859066 0.00137381832601613 0.000300410281431684 5.34588045253415e-05 7.74100871603345e-06 9.12015047482839e-07 8.74143836204766e-08 6.81536704849606e-09 4.32184621423914e-10 2.22879492639549e-11 9.34696764431919e-13 3.1863400806742e-14 8.88178419700125e-16 0 0 0 0 0 0 0
0.197702081071488 0.148799407863015 0.177536816696832 0.172813154141864 0.137235176620458 0.0889092677911504 0.0469902643401943 0.0202594790273219 0.00712496558758813 0.00204381111734442 0.000478153074640164 9.12267141105483e-05 1.41926425487604e-05 1.8003011879042e-06 1.86174482497137e-07 1.56941992734971e-08 1.07833131313129e-09 6.03822547518007e-11 2.75524048021225e-12 1.02362562870439e-13 3.10862446895044e-15 1.11022302462516e-16 0 0
0.00639148564005786 0.0144674371533011 0.035864501920179 0.0726298811588002 0.120161242355411 0.16241549906702 0.179355161334325 0.161817965545819 0.11927868054249 0.0718311257397424 0.0353395267666839 0.0142031828622584 0.00466295077917267 0.00125041626871314 0.000273861592229308 4.89836041894787e-05 7.15435852294277e-06 8.53190087579669e-07 8.30670846552195e-08 6.60194443558026e-09 4.28277746600259e-10 2.26746399434319e-11 9.79660796929238e-13 3.5527136788005e-14
5.2781104224275e-05 0.000254317376383962 0.00116696895469945 0.00437830526804813 0.0134323398172497 0.0336998065591957 0.0691448287204017 0.116029863636866 0.159247722536035 0.178763857116023 0.164131824225147 0.123256503098619 0.0757045699287345 0.038028994409583 0.0156231168193041 0.00524873826482453 0.00144193612551335 0.000323896434853643 5.9483538981997e-05 8.93050968919784e-06 1.09597421060759e-06 1.09931712510836e-07 9.01149466159268e-09 6.38204156189204e-10
2.17403469260838e-07 1.87579851941348e-06 1.44752798631323e-05 9.13936695639019e-05 0.000472168062189293 0.00199622187623661 0.0069070065930432 0.0195601927462992 0.0453406322115248 0.0860314637173442 0.133629137945413 0.169915226600438 0.176871544975028 0.150722953628605 0.105145752004486 0.0600460101285187 0.0280698493640011 0.010740820856537 0.00336394773871773 0.000862270889671057 0.000180877787109401 3.10480714791339e-05 4.36063665820718e-06 5.52015284149832e-07
7.25899045231265e-10 1.00319934706938e-08 1.20132917136006e-07 1.17764579926912e-06 9.45129600138395e-06 6.2106473335538e-05 0.000334190526743895 0.00147266389466044 0.00531499439851831 0.0157117822303819 0.0380453144858727 0.0754666241431018 0.122632753982907 0.163256376092706 0.178055120291104 0.159097014475339 0.116463400005161 0.0698437389946821 0.0343131864834861 0.0138092372467669 0.00455226817394372 0.00122915117990174 0.000271811470767491 5.75056180104339e-05
2.69842461094977e-12 5.50281046595794e-11 9.55574851338941e-10 1.35900229864838e-08 1.58306134872702e-07 1.51058009062002e-06 1.18087453068214e-05 7.5634841729442e-05 0.000396954225028176 0.00170725764746153 0.00601775453781188 0.0173851979635656 0.0411683439642942 0.0799116091481992 0.127156364079396 0.165867630148154 0.17737334067403 0.155496354504464 0.111751492236015 0.0658382034274497 0.0317964591703166 0.0125873691308994 0.00408433060956648 0.0013722114567617
1.35474026138694e-14 3.82211766792917e-13 9.089199646547e-12 1.77092324162342e-10 2.8273033410456e-09 3.69904834013747e-08 3.96642079774592e-07 3.4861368820548e-06 2.5117221373169e-05 0.000148362219209046 0.00071852278601008 0.0028533923288312 0.00929225468301189 0.0248170707221877 0.0543596333988546 0.0976609833008028 0.143913331932498 0.173951272766957 0.172467158863092 0.140261077475543 0.0935650872442156 0.0511946533434985 0.0229748274058141 0.0117933315247754
1.022208005377e-16 3.78640064049684e-15 1.17476656301174e-13 2.98739145086807e-12 6.22720318122405e-11 1.06414257111649e-09 1.49093400509074e-08 1.71283219776071e-07 1.61366950442679e-06 1.2468162543176e-05 7.90172204546736e-05 0.000410784355069577 0.00175193441045903 0.00613012744097857 0.0175995351339807 0.041461129529236 0.0801517326925209 0.127155502856407 0.165546926949572 0.176879896690823 0.155099055273009 0.111611595606587 0.0659127503811213 0.0501957423056507
1.21728145924205e-18 5.6692252430358e-17 2.20260304837211e-15 7.01643514552923e-14 1.83276965462092e-12 3.92603993518119e-11 6.89766550293574e-10 9.94021369337751e-09 1.17511713235218e-07 1.13973473883581e-06 9.07001826484994e-06 5.92294306037281e-05 0.000317419372704568 0.00139615894998431 0.0050405511896424 0.0149381087421152 0.036342627483346 0.0725879226167961 0.119030723366345 0.160256079467244 0.177149227016803 0.160781554401846 0.119812625724343 0.132277434302363
2.31315061435024e-20 1.30645413559627e-18 6.13902118936482e-17 2.36600226815215e-15 7.47969888288586e-14 1.93976495000834e-12 4.12718799305119e-11 7.20517295528847e-10 1.03220245076911e-08 1.21355944410245e-07 1.17105678475871e-06 9.27598062144822e-06 6.03183769267773e-05 0.000322024223959648 0.0014116118860064 0.00508119448469204 0.0150200889235954 0.0364639592276781 0.0727049177101351 0.119067038557499 0.160162583690994 0.176962327038742 0.160603013539887 0.252130342860702
6.92547839671531e-22 4.6018110907178e-20 2.5394070400996e-18 1.14969470014356e-16 4.27090514578062e-15 1.30192623357318e-13 3.25705382932041e-12 6.68774357189605e-11 1.12718476615198e-09 1.55961177937085e-08 1.77169468211691e-07 1.65255874293774e-06 1.26579793170575e-05 7.96257882595298e-05 0.000411401188711698 0.00174597447661011 0.00608703684298942 0.0174341705899048 0.0410252830052136 0.0793194961577333 0.126009888211479 0.164489684331129 0.176437000632509 0.386945934274361
3.18042130011838e-23 2.42359966171793e-21 1.53185384194046e-19 7.94601233097314e-18 3.38295232003004e-16 1.18221912859442e-14 3.39154493546542e-13 7.98799516545393e-12 1.54476581044787e-10 2.45310846213715e-09 3.19922637670221e-08 3.42682614011392e-07 3.01510379795542e-06 2.1793088138893e-05 0.000129414607860777 0.000631444985554375 0.00253170169732122 0.00834158031581071 0.022587766365595 0.0502705482067667 0.0919583151417886 0.138268152690334 0.170890752033674 0.514365138472555
2.16467277228621e-24 1.85141685217389e-22 1.31225547764718e-20 7.63537939045702e-19 3.64736383604355e-17 1.43055147577913e-15 4.60728315533667e-14 1.21855637420306e-12 2.64696966023113e-11 4.72279382994415e-10 6.92213763140435e-09 8.33522523310719e-08 8.24659534010553e-07 6.70433818116241e-06 4.47923119661651e-05 0.00024595640316873 0.00111009051963408 0.00411850891908076 0.0125613245638 0.0314972994277996 0.0649348775932689 0.110070068321762 0.153412796716506 0.621996665450894
2.10314138863942e-25 1.98245957341639e-23 1.5476756996536e-21 9.92134495389743e-20 5.22291964242333e-18 2.25812059313923e-16 8.01885080068258e-15 2.33910579989102e-13 5.60535290089645e-12 1.10360823772212e-10 1.78537692883012e-09 2.37351696330788e-08 2.59326290809594e-07 2.32882258660426e-06 1.71911458833575e-05 0.000104326177556062 0.000520524707104168 0.00213543345103726 0.00720379627191805 0.019984717396699 0.0455955349378053 0.0855571646816751 0.13204362191771 0.706835075526979
2.80825795879517e-26 2.87279379175313e-24 2.43293932244912e-22 1.69232883045056e-20 9.66943956046849e-19 4.53856870271737e-17 1.75015714920384e-15 5.54519103259596e-14 1.44370782896178e-12 3.08893256145946e-11 5.43184753345117e-10 7.85128768785438e-09 9.32894686078095e-08 9.11311148459259e-07 7.31958183038286e-06 4.83429731039128e-05 0.000262571872776496 0.00117292119459324 0.00430953603613741 0.0130246250256896 0.0323818135023151 0.0662311480624073 0.111446870544128 0.771113838179539
4.96824630620639e-27 5.44425313323051e-25 4.93755500311025e-23 3.67890930909041e-21 2.25214023044001e-19 1.13286530504774e-17 4.6828086971946e-16 1.59081629304043e-14 4.4418157962974e-13 1.01946058216247e-11 1.92350364806927e-10 2.98381653441093e-09 3.80585118917129e-08 3.99186620422071e-07 3.44340387069862e-06 2.44303708413747e-05 0.00014257488881976 0.000684487711535543 0.00270354805458263 0.00878580317950511 0.0234929372582202 0.0516924502229121 0.0935991413997025 0.818870743078056
1.12536209934363e-27 1.30647241213336e-25 1.25507449645929e-23 9.90774028047668e-22 6.42762705326102e-20 3.42715983186187e-18 1.50197908270415e-16 5.41101665131285e-15 1.60258187116123e-13 3.9023837002933e-12 7.81359706071168e-11 1.28655065883446e-09 1.74221386775346e-08 1.94052192339857e-07 1.77795813738671e-06 1.34014840775369e-05 8.31100956155835e-05 0.000424095310414786 0.00178081521837246 0.00615394977315439 0.0175024695232408 0.0409714854589761 0.0789447876429162 0.854123894692009
3.16283750679504e-28 3.85387445985669e-26 3.88539412502608e-24 3.2196347261312e-22 2.19304077179625e-20 1.22798072093854e-18 5.65299786793694e-17 2.13967423454622e-15 6.65945214324355e-14 1.70448411233642e-12 3.58800937626476e-11 6.21245964624514e-10 8.84843846029514e-09 1.03682731815556e-07 9.99600213204404e-07 7.92992300716793e-06 5.1769707172728e-05 0.000278154583436631 0.00123009299416643 0.00447780907479955 0.0134183938498779 0.0331032413818042 0.0672355593280601 0.880195936367392
1.07216949071981e-28 1.36037597704146e-26 1.42807652166583e-24 1.2324583842455e-22 8.74491157638158e-21 5.10195544032863e-19 2.44767201849523e-17 9.65703502918362e-16 3.13363529389564e-14 8.3638912148889e-13 1.83639370586003e-11 3.31713901845565e-10 4.92998315692132e-09 6.02912998097475e-08 6.06784710156252e-07 5.02606434994109e-06 3.42670283254894e-05 0.00019231793002724 0.000888578677912868 0.00338018139223859 0.0105872759005726 0.0273059341329261 0.057993968695496 0.899611777821211
4.27455202411921e-29 5.60983427158316e-27 6.09123584609948e-25 5.43850654878814e-23 3.99306586749085e-21 2.41113307563129e-19 1.19745893262009e-17 4.8917373925588e-16 1.64387342307458e-14 4.5448256949556e-13 1.03383591236337e-11 1.93514816544716e-10 2.98090596472215e-09 3.77917664231685e-08 3.94370316433126e-07 3.38775528109694e-06 2.39586464754255e-05 0.000139506716172578 0.000668880745686463 0.00264094075505641 0.00858731972945829 0.0229971877484337 0.0507265223835279 0.914211860172595
1.96007316413406e-29 2.6456432794678e-27 2.95460588403089e-25 2.71377516097719e-23 2.05015917272473e-21 1.27401833548616e-19 6.51290386116115e-18 2.73919236086222e-16 9.47891489255662e-15 2.6991282777778e-13 6.32497577315199e-12 1.21985189662164e-10 1.93647218250124e-09 2.53054815158587e-08 2.7224523974359e-07 2.41152064109385e-06 1.75892928408276e-05 0.000105650796163383 0.000522639884849574 0.00212948051362286 0.00714692421210173 0.0197591696535625 0.0450036716050811 0.925312162905354
1.01370045152088e-29 1.4004978197623e-27 1.60099085267053e-25 1.50551561810911e-23 1.16467503196559e-21 7.41279549811444e-20 3.8819795158751e-18 1.67284659104373e-16 5.93239028665946e-15 1.7314675167229e-13 4.15959833520599e-12 8.22589368448648e-11 1.33922105278352e-09 1.79515537472803e-08 1.98141516150307e-07 1.80100614090715e-06 1.34822665346078e-05 8.31302353504157e-05 0.000422223154904972 0.0017666406865475 0.00608991065570012 0.0172965765433284 0.0404782888178832 0.933847729114721
5.81282916362617e-30 8.186708302201e-28 9.54107991065214e-26 9.1486435651926e-24 7.21804635124975e-22 4.68619997699376e-20 2.50377968509695e-18 1.10098899520522e-16 3.98492573121591e-15 1.18726575215967e-13 2.91210652777697e-12 5.88085151455275e-11 9.77888775903618e-10 1.33905364740425e-08 1.5101104710279e-07 1.40269820897627e-06 1.07326328503818e-05 6.765116012807e-05 0.000351325631715286 0.00150330267330498 0.00530052210794388 0.0154012811174094 0.036879721693416 0.940483894843707
3.64137905965083e-30 5.21007447243404e-28 6.16918510823097e-26 6.01119413980722e-24 4.8203146935694e-22 3.18130928949022e-20 1.72817604028462e-18 7.72785297633638e-17 2.84483509038241e-15 8.62228882149341e-14 2.15177179189358e-12 4.4220115081654e-11 7.48403876105777e-10 1.04324791856899e-08 1.19789076738361e-07 1.13309829954084e-06 8.83039925168059e-06 5.67016815080004e-05 0.000300022018637741 0.00130824307027624 0.00470149194154026 0.0139259712425133 0.0340004576682911 0.945697017863261
2.46020923614149e-30 3.56569745135579e-28 4.27727453597446e-26 4.22293409189987e-24 3.43177201357429e-22 2.29569125104849e-20 1.26425585483813e-18 5.73218117937771e-17 2.13996501337636e-15 6.57862182731301e-14 1.66550299184814e-12 3.47280044236302e-11 5.96458847837306e-10 8.43898263731192e-09 9.8367446780161e-08 9.44728061423206e-07 7.47649432227478e-06 4.87601961613622e-05 0.000262088472251399 0.00116113325123506 0.00424035127755173 0.012765506346025 0.0316823851726719 0.94983124662237
1.7729597937965e-30 2.59656733161446e-28 3.14773831978993e-26 3.14119676741556e-24 2.58060411154229e-22 1.74546502756e-20 9.7207501292601e-19 4.45783598645526e-17 1.68353549732527e-15 5.23641231625296e-14 1.34152679761464e-12 2.83113342585288e-11 4.92219682639857e-10 7.05079107464785e-09 8.32222759609386e-08 8.09480773990213e-07 6.48903791410028e-06 4.28747265574282e-05 0.000233511628545165 0.00104842762235428 0.00388083574155719 0.0118440407457637 0.0298050410721185 0.953137879149422
1.34992653325435e-30 1.99360413933706e-28 2.43734504695912e-26 2.45337066870889e-24 2.03333749514008e-22 1.38768074267692e-20 7.79899466876473e-19 3.60988452860332e-17 1.37623205198669e-15 4.32188312341355e-14 1.11809266571521e-12 2.38312801823773e-11 4.18527298024229e-10 6.05688747921594e-09 7.22382237371054e-08 7.1009867274724e-07 5.75368382892528e-06 3.84316794055157e-05 0.000211635069240848 0.00096089856202211 0.00359743735341633 0.0111062079187108 0.0282763113189933 0.955802535577077
1.07709571941527e-30 1.60122282666831e-28 1.97084090619834e-26 1.99750449672358e-24 1.66721770446226e-22 1.14603720596887e-20 6.48846568312423e-19 3.02592882275566e-17 1.16248325738955e-15 3.67929985672891e-14 9.59476707715393e-13 2.06174852209246e-11 3.65099192947035e-10 5.32846747801495e-09 6.40991791429447e-08 6.35628684517989e-07 5.19633183572413e-06 3.50245872296599e-05 0.00019465732371463 0.0008921272375257 0.00337190539226514 0.0105110875946542 0.0270253466888475 0.957963949400882
8.94308760389736e-31 1.33632954295976e-28 1.65347052354152e-26 1.68493040722735e-24 1.41417100795115e-22 9.77664225225416e-21 5.56775681453715e-19 2.61222097504008e-17 1.0097560307524e-15 3.21616952330288e-14 8.44145888891587e-13 1.82596853502954e-11 3.25542785005092e-10 4.784142360745e-09 5.79593740989391e-08 5.78907181540914e-07 4.76761609420715e-06 3.23773313942389e-05 0.000181328909183785 0.000837560197670871 0.00319096638338752 0.0100280586574349 0.0259972662826555 0.959727032626801
7.68077065634638e-31 1.15218071962911e-28 1.43135928147237e-26 1.46468270447796e-24 1.23463052038156e-22 8.57358178607625e-21 4.90517159944879e-19 2.3123256685392e-17 8.98223327604571e-16 2.87540562178243e-14 7.5863593621061e-13 1.64978820771689e-11 2.95750276743209e-10 4.37085530110378e-09 5.32591517753964e-08 5.35119293083667e-07 4.43380800413202e-06 3.02979579321666e-05 0.000170764973186685 0.000793907562164968 0.00304481589828835 0.00963392708686285 0.0251492301837565 0.961172029467468
6.78859570188242e-31 1.02125064010093e-28 1.27248598601358e-26 1.30617940607125e-24 1.10462136455915e-22 7.6969381727092e-21 4.41927674071832e-19 2.0909767046947e-17 8.15360232027583e-16 2.62054127497595e-14 6.94246291082826e-13 1.51620558414321e-11 2.73002207992099e-10 4.05302978090411e-09 4.96182160818761e-08 5.00947404110905e-07 4.17132510104525e-06 2.8650163543719e-05 0.000162326733472888 0.00075875156008384 0.00292610559818837 0.00931091852889066 0.0244475332123902 0.962360987970794
6.14769553911884e-31 9.26660998200839e-29 1.15705490654326e-26 1.19035562009154e-24 1.0090686142526e-22 7.04886125575921e-21 4.05794459228172e-19 1.92538775724683e-17 7.52996020325696e-16 2.42755035718991e-14 6.45185710862191e-13 1.41378357314239e-11 2.55449057406417e-10 3.80619283126303e-09 4.67718379399066e-08 4.74053204507615e-07 3.96332745891018e-06 2.73352605768482e-05 0.000155544817426663 0.000730287108510543 0.00282925257107042 0.00904526076170389 0.0238654502780749 0.963342380973685
5.68304509137195e-31 8.57683171711679e-29 1.07239187750356e-26 1.10491437800017e-24 9.38174612077703e-23 6.56525602605742e-21 3.78675409932961e-19 1.80038735674938e-17 7.05643854882642e-16 2.28015592955573e-14 6.07494909425203e-13 1.33462890545101e-11 2.41801831988567e-10 3.6131139494158e-09 4.45316421647903e-08 4.52754208546803e-07 3.79755575370542e-06 2.62805111971488e-05 0.000150068681717881 0.000707146822371588 0.00274996142731787 0.00882617184298783 0.023381631977043 0.964154440026867
5.34570510931302e-31 8.07274627883356e-29 1.01012366294989e-26 1.04167790442539e-24 8.85379401194487e-23 6.20290815767836e-21 3.5823308394734e-19 1.70559659312984e-17 6.69521449631892e-16 2.1670490641267e-14 5.78400573185254e-13 1.27316587982477e-11 2.31142002962839e-10 3.46140250369519e-09 4.27608735342363e-08 4.35816771738462e-07 3.66492664284159e-06 2.54314225338644e-05 0.000145632601613832 0.000688280975479951 0.00268488884843317 0.0086451298018034 0.0229789027509224 0.964827586389048
5.10279386374697e-31 7.70676758998852e-29 9.64559849005762e-27 9.95055722238175e-25 8.46171221106344e-23 5.93191035654482e-21 3.42839412698382e-19 1.63373851138426e-17 6.41958822469015e-16 2.08019027464253e-14 5.55916774316657e-13 1.22537163142726e-11 2.22801649973368e-10 3.34197488322404e-09 4.13584219029225e-08 4.22320660248572e-07 3.55860089975642e-06 2.474655824542e-05 0.000142032391979577 0.000672873832674985 0.00263140484664761 0.00849533963721091 0.0226433542533359 0.965386222622316
4.93161981548088e-31 7.44588860735833e-29 9.31732885254919e-27 9.61129230839201e-25 8.17370356007046e-23 5.73106724149475e-21 3.31333948349647e-19 1.579595593021e-17 6.21029945439741e-16 2.01374366485902e-14 5.38592537131408e-13 1.18828712500725e-11 2.16286043882789e-10 3.24805388269198e-09 4.02482772836894e-08 4.11568591709118e-07 3.47335308018334e-06 2.41939808260549e-05 0.000139109205371695 0.000660284442674013 0.00258742057110564 0.00837133999105927 0.0223636561434195 0.965850067018812
4.81613793335403e-31 7.26666181153134e-29 9.08811070569883e-27 9.3708828501431e-25 7.9668539596492e-23 5.58502832933295e-21 3.22871941150492e-19 1.53934972171116e-17 6.05317728201832e-16 1.9633914027692e-14 5.25348115053879e-13 1.15969721019479e-11 2.11222528534782e-10 3.17450160567439e-09 3.93724277975335e-08 4.03024648399107e-07 3.40513738164621e-06 2.37487704222976e-05 0.000136738076814284 0.000650004132551006 0.00255126250498277 0.00826870971350479 0.0221305279345059 0.966235157934894
4.74474719244252e-31 7.15206231611831e-29 8.93729633507085e-27 9.20875033215235e-25 7.82431033022587e-23 5.48245325929902e-21 3.16826481743292e-19 1.51015415971064e-17 5.93760540078462e-16 1.92588275289647e-14 5.15366461766452e-13 1.13791683588072e-11 2.07326076258139e-10 3.1173659743684e-09 3.86859863894268e-08 3.96271595144896e-07 3.35078354106131e-06 2.33912666612249e-05 0.000134819703248719 0.000641625571137328 0.00252157941220509 0.00818384660711487 0.021936330934476 0.966554617427428
4.70888572863381e-31 7.08947715783971e-29 8.8495305547688e-27 9.10953247946019e-25 7.73344288278735e-23 5.41481016760093e-21 3.12724032749965e-19 1.48984982753631e-17 5.85549821278289e-16 1.89873120520184e-14 5.08019830997653e-13 1.12164539776133e-11 2.04375638971768e-10 3.07356682595758e-09 3.81537883131398e-08 3.90980803211901e-07 3.30778041971598e-06 2.31058039761202e-05 0.000133274460551628 0.000634819956389347 0.00249727268656835 0.0081137988600912 0.0217747503849376 0.966819237642788
4.70211349178063e-31 7.06938645978835e-29 8.81318456321325e-27 9.06155597534057e-25 7.6846222520212e-23 5.37557193026023e-21 3.10201072145518e-19 1.47677341378695e-17 5.80060423939356e-16 1.88000714511169e-14 5.02819204618591e-13 1.10986570178516e-11 2.02197625630365e-10 3.04067493666476e-09 3.77479766001024e-08 3.86890723846574e-07 3.27411967646565e-06 2.28797889180968e-05 0.000132037990454091 0.000629319982553248 0.00247744362179121 0.00805613533319524 0.0216405458686875 0.96703793540153
4.71950032038112e-31 7.08448009279301e-29 8.81930251332226e-27 9.05580462758825e-25 7.670389514713e-23 5.35966801301033e-21 3.08974376130825e-19 1.46962516100586e-17 5.76802352951548e-16 1.86819339103037e-14 4.99378842785191e-13 1.10177269032121e-11 2.00654168817855e-10 3.01675398628753e-09 3.74462622752813e-08 3.83791252906707e-07 3.24818124254924e-06 2.27030178706752e-05 0.000131057903826496 0.000624906971083041 0.00246135305638638 0.00800884478598566 0.0215293537978026 0.967218107819343
4.7572097379991e-31 7.12905459472253e-29 8.86087947401208e-27 9.08520922217017e-25 7.68488250974356e-23 5.36310389034186e-21 3.08820289664856e-19 1.46737618576364e-17 5.75386763293165e-16 1.86208286038368e-14 4.97391030163173e-13 1.09672236631177e-11 1.99634663715634e-10 3.00024584210607e-09 3.72306525724104e-08 3.81512215445637e-07 3.22864829290929e-06 2.25671660624904e-05 0.000130291288056118 0.000621401037345766 0.00244839016925491 0.00797025687110462 0.0214375299536473 0.967365912912004
4.81221078399306e-31 7.19859412513256e-29 8.93235786701563e-27 9.14415033193513e-25 7.72343256100688e-23 5.38269237623291e-21 3.09560027770935e-19 1.46920245753792e-17 5.75501620657454e-16 1.86070494641117e-14 4.96607810606822e-13 1.0941946448665e-11 1.99049577949783e-10 2.98988610865188e-09 3.70865084965302e-08 3.79914772234153e-07 3.21444331330392e-06 2.24654002214265e-05 0.000129702800742628 0.000618653496459664 0.00243804811490237 0.00793897966120259 0.0213620230768257 0.967486492804658
4.88207518903855e-31 7.28947451962065e-29 9.02927056870815e-27 9.22810462645323e-25 7.78227648364258e-23 5.41586098228362e-21 3.1104909176418e-19 1.47443705090072e-17 5.76894017741077e-16 1.8632717701056e-14 4.96827585536033e-13 1.09376595271169e-11 1.98825860376723e-10 2.98464112404579e-09 3.70018373592448e-08 3.78884926267129e-07 3.20467944971563e-06 2.23920815788339e-05 0.000129263195983831 0.000616540939200585 0.00242990482433521 0.00791384985104241 0.0213002727201379 0.967584152626587
4.96483242446726e-31 7.39875108607287e-29 9.14798411754782e-27 9.3333894718472e-25 7.85834784436348e-23 5.46051174571391e-21 3.13169536980495e-19 1.48253511500371e-17 5.79357143546775e-16 1.86913839347555e-14 4.97885146098701e-13 1.0950887465027e-11 1.98903491221561e-10 2.9836603580748e-09 3.69667551530196e-08 3.78328557745788e-07 3.19862306521388e-06 2.23425356820291e-05 0.000128948173470319 0.000614960567025682 0.00242360774685897 0.00789389276653798 0.0212501262084407 0.967662504889574
